ticker,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
AAPL,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True
ADBE,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True
AMZN,False,True,True,True,True,True,False,False,True,False,True,True,True,True,True,False,False,True,True,True
BAC,True,True,True,True,False,False,False,False,True,True,True,True,True,False,True,False,False,False,True,False
CSCO,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
DIS,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,False,False,False,True,False
GOOGL,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,True,False,True,True
HD,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,True,True
INTC,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True
JPM,True,True,True,True,False,False,False,False,True,True,True,True,True,False,True,False,False,False,True,False
KO,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,False,True,True
MA,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,True,True,True
META,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,True,False,True,True
MSFT,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
NVDA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
PFE,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,False,False,True,True
PG,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True
TSLA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
UNH,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,True,True
V,True,True,False,False,True,False,False,False,True,True,True,True,True,False,True,False,False,False,True,True
